analysis_set,template,condition,layer,mean_final_token_entity_attention,mean_final_token_entity_contribution_norm
all_100,direct_fact,later_middle_19_21,24,0.16482262209057807,37.971291313171385
all_100,direct_fact,later_middle_19_21,25,0.02908548777922988,15.057438445091247
all_100,direct_fact,later_middle_19_21,26,0.06326286673545838,20.110129442214966
all_100,direct_fact,later_middle_19_21,27,0.0587967337295413,20.815043478012086
all_100,direct_fact,later_middle_19_21,28,0.08602903485298156,47.85341579437256
all_100,direct_fact,later_middle_19_21,29,0.09002008263021707,59.30809215545654
all_100,direct_fact,later_middle_19_21,30,0.048727128580212595,48.37454446792603
all_100,direct_fact,later_middle_19_21,31,0.09532768093049526,95.1917456817627
all_100,direct_fact,later_middle_19_21,32,0.0547188500314951,106.23966993331909
all_100,direct_fact,later_middle_19_21,33,0.08772695988416672,122.77049255371094
all_100,direct_fact,later_middle_19_21,34,0.06268539616838098,107.08139526367188
all_100,direct_fact,later_middle_19_21,35,0.025293196942657234,16.280822958946228
all_100,direct_fact,sparse_union,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,sparse_union,1,0.006244885025080293,0.09027159832417965
all_100,direct_fact,sparse_union,2,0.008615995573345572,0.11976152520626783
all_100,direct_fact,sparse_union,3,0.014811110822483898,0.7114362740516662
all_100,direct_fact,sparse_union,4,0.006047183533664793,0.17639973059296607
all_100,direct_fact,sparse_union,5,0.0034553430741652846,0.17671422816812993
all_100,direct_fact,sparse_union,6,0.0034166316082701086,0.12500832475721835
all_100,direct_fact,sparse_union,7,0.0013773194776149466,0.11648835029453039
all_100,direct_fact,sparse_union,8,0.0024211436533369125,0.19268617242574693
all_100,direct_fact,sparse_union,9,0.004315027450211346,0.39973935797810556
all_100,direct_fact,sparse_union,10,0.004906172584742308,0.5754267832636834
all_100,direct_fact,sparse_union,11,0.002578555839136243,0.1477516620606184
all_100,direct_fact,sparse_union,12,0.002274155434570275,0.19319635078310968
all_100,direct_fact,sparse_union,13,0.004129859106615186,0.1987466637790203
all_100,direct_fact,sparse_union,14,0.006277661803178489,0.34926771312952043
all_100,direct_fact,sparse_union,15,0.0025277356430888176,0.20677434265613556
